city,streetAddress,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_saledate,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,houseAge,pricePerSqFt
austin,10720 Chippenhook Ct,78748,30.16901397705078,-97.8438720703125,1.98,0,True,True,False,True,False,False,Single Family,0,2008,375000.0,13,2020-01-14,1,2020,25,0,2,1,0,0,0,0,0,7753.0,2443.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.5,3,2,17,153.49979533360622
austin,9808 Briar Ridge Dr,78748,30.17847442626953,-97.8315887451172,1.98,2,False,True,True,True,False,False,Single Family,2,1985,300000.0,5,2020-05-01,5,2020,26,0,2,2,1,0,0,0,0,5662.0,1278.0,1,0,1,1,1.8333333333333333,5.0,1450,15,2.0,3,1,40,234.7417840375587
austin,9806 Briar Ridge Dr,78748,30.17853927612305,-97.83172607421876,1.98,0,False,True,False,True,False,False,Single Family,0,1985,279000.0,3,2019-08-13,8,2019,28,0,3,1,3,1,0,1,0,5662.0,1214.0,1,0,1,1,1.866666666666667,5.0,1450,15,2.0,3,1,40,229.81878088962108
austin,10517 Lindshire Ln,78748,30.171560287475582,-97.83892059326172,1.98,0,True,True,False,True,False,False,Single Family,0,2002,395000.0,1,2020-12-31,12,2020,1,0,0,1,0,0,0,0,0,8276.0,2086.0,1,0,1,1,1.8,5.0,1450,15,3.0,3,2,23,189.35762224352828
austin,9804 Briar Ridge Dr,78748,30.17861366271973,-97.83186340332033,1.98,1,False,True,True,True,False,False,Single Family,1,1985,295000.0,3,2020-09-01,9,2020,73,0,4,2,1,1,0,0,0,5837.0,1148.0,1,0,1,1,1.866666666666667,5.0,1450,15,2.0,3,1,40,256.9686411149826
austin,9800 Briar Ridge Dr,78748,30.178741455078125,-97.83224487304688,1.98,0,False,True,False,True,False,False,Single Family,0,1985,285000.0,5,2018-10-17,10,2018,17,0,1,1,0,0,0,0,0,8232.0,1661.0,1,0,1,1,1.866666666666667,5.0,1450,15,2.0,3,1,40,171.5833835039133
austin,2645 Piping Rock Trl,78748,30.178476333618164,-97.83213806152344,1.98,0,False,True,False,True,False,False,Single Family,0,1985,262000.0,3,2019-10-18,10,2019,30,0,2,1,0,0,0,0,0,7710.0,1177.0,1,0,1,1,1.866666666666667,5.0,1450,15,2.0,3,1,40,222.5998300764656
austin,3106 Foxton Cv,78748,30.17951202392578,-97.8429946899414,1.98,2,False,True,True,True,False,False,Single Family,2,1986,270000.0,2,2020-08-28,8,2020,30,0,4,2,1,1,0,0,0,8799.0,1099.0,1,0,1,1,1.9333333333333336,5.0,1450,15,2.0,3,2,39,245.6778889899909
austin,10812 Pall Mall Dr,78748,30.168779373168945,-97.84564208984376,1.98,2,True,True,True,True,False,False,Single Family,2,2006,349000.0,1,2020-06-19,6,2020,58,0,3,2,1,1,0,0,0,7579.0,1826.0,1,0,1,1,1.9,5.0,1450,15,2.0,3,1,19,191.12814895947426
austin,9806 Nightjar Dr,78748,30.18020820617676,-97.83672332763672,1.98,6,False,True,True,True,False,False,Single Family,6,1992,134900.0,7,2020-11-30,11,2020,46,0,3,2,2,1,0,0,0,8276.0,2037.0,1,0,1,1,1.8666666666666665,5.0,1450,15,3.0,3,2,33,66.22484045164458
